timestamp,position,velocity,tau_fcomp,tau_imp,Goniometer,recording_flag
1746766078.7185133,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.727494,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.7372313,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.747957,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.7573497,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.7672405,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.7772696,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.7868104,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.7971027,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.806823,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.8167145,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.828075,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.837309,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.8471785,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.8573635,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.867626,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.87672,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.8867455,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.8967407,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.9077175,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.9171014,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.9266896,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.9371006,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.947007,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.956765,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
