timestamp,goniometer,recording_flag
1746659802.1814091,173675.0,1
1746659802.19166,176917.0,1
1746659802.20184,181191.0,1
1746659802.2117949,184999.0,1
1746659802.2222855,188595.0,1
1746659802.2311866,190476.0,1
1746659802.242247,192748.0,1
1746659802.2529314,194713.0,1
1746659802.265494,196523.0,1
1746659802.271844,198305.0,1
1746659802.2813263,200478.0,1
1746659802.2923207,202396.0,1
1746659802.3021424,203679.0,1
1746659802.3113344,205019.0,1
1746659802.3209872,206342.0,1
1746659802.3314254,208309.0,1
1746659802.342532,209900.0,1
1746659802.3521304,210364.0,1
1746659802.3622534,211499.0,1
1746659802.3716214,212558.0,1
1746659802.381884,213040.0,1
1746659802.3932345,214400.0,1
1746659802.4013698,215015.0,1
1746659802.411636,216057.0,1
1746659802.4223094,216926.0,1
1746659802.4321795,217484.0,1
1746659802.441247,217377.0,1
1746659802.451446,217655.0,1
1746659802.461609,217601.0,1
1746659802.4741323,217654.0,1
1746659802.4809704,217894.0,1
1746659802.4921758,217554.0,1
1746659802.5015557,217829.0,1
1746659802.511483,217576.0,1
1746659802.5223641,216888.0,1
1746659802.533277,216289.0,1
1746659802.5420747,215366.0,1
1746659802.5533814,214964.0,1
1746659802.5622,214580.0,1
1746659802.572437,213997.0,1
1746659802.5819657,213150.0,1
1746659802.59108,211545.0,1
1746659802.6014414,210500.0,1
1746659802.6113102,209353.0,1
1746659802.6215138,207684.0,1
1746659802.6312704,206955.0,1
1746659802.643157,205032.0,1
1746659802.652718,204083.0,1
1746659802.6618843,202352.0,1
1746659802.671889,200775.0,1
1746659802.6834846,198405.0,1
1746659802.6932154,197008.0,1
1746659802.7027178,194357.0,1
1746659802.7123978,192450.0,1
1746659802.7221925,190257.0,1
1746659802.7324631,188058.0,1
1746659802.7422354,185809.0,1
1746659802.7524998,183786.0,1
1746659802.7624044,181717.0,1
1746659802.7722783,179220.0,1
1746659802.7818964,177840.0,1
1746659802.7922504,173425.0,1
1746659802.8021405,172007.0,1
1746659802.8159664,170086.0,1
1746659802.827151,168234.0,1
1746659802.835905,167683.0,1
1746659802.8424187,165578.0,1
1746659802.8540075,162458.0,1
1746659802.868301,158958.0,1
