timestamp,goniometer,recording_flag
1746661242.715523,-8977.0,1
1746661242.725045,-9525.0,1
1746661242.734891,-10242.0,1
1746661242.7444093,-11043.0,1
1746661242.7548437,-12657.0,1
1746661242.7639236,-14094.0,1
1746661242.774168,-14626.0,1
1746661242.7871242,-15144.0,1
1746661242.7937994,-15461.0,1
1746661242.8051429,-16178.0,1
1746661242.8143864,-16477.0,1
1746661242.8241618,-16460.0,1
1746661242.8338184,-16362.0,1
1746661242.843868,-16468.0,1
1746661242.8554149,-16287.0,1
1746661242.8642275,-15785.0,1
1746661242.8744085,-15304.0,1
1746661242.885745,-14697.0,1
1746661242.8943324,-14108.0,1
1746661242.9043202,-13558.0,1
1746661242.9151163,-12783.0,1
1746661242.924617,-11418.0,1
1746661242.9365323,-10045.0,1
1746661242.9453604,-8863.0,1
1746661242.953921,-7150.0,1
1746661242.9643686,-5994.0,1
1746661242.974264,-3600.0,1
1746661242.9854202,-674.0,1
1746661242.9951224,866.0,1
1746661243.006468,2711.0,1
1746661243.015841,4313.0,1
1746661243.02397,5773.0,1
1746661243.0368233,8497.0,1
1746661243.044383,10918.0,1
1746661243.0552807,14129.0,1
1746661243.0643675,17414.0,1
1746661243.074869,20069.0,1
1746661243.0863285,22526.0,1
1746661243.0943632,24967.0,1
1746661243.1062808,27970.0,1
1746661243.1152391,31093.0,1
1746661243.1246896,36303.0,1
1746661243.134347,41359.0,1
1746661243.1445873,44961.0,1
1746661243.154321,48349.0,1
1746661243.164102,51774.0,1
1746661243.1743274,56488.0,1
1746661243.1860623,61116.0,1
1746661243.1945038,63905.0,1
1746661243.2089345,66534.0,1
1746661243.2143352,67948.0,1
1746661243.2253394,72126.0,1
1746661243.2342625,74644.0,1
1746661243.2447853,78395.0,1
1746661243.2547996,81879.0,1
1746661243.2652428,83615.0,1
1746661243.274068,85676.0,1
1746661243.2873068,88787.0,1
1746661243.2951872,90979.0,1
1746661243.3050528,94648.0,1
1746661243.3157892,95844.0,1
1746661243.3246639,99273.0,1
1746661243.3354728,101516.0,1
1746661243.3443875,103246.0,1
1746661243.355419,106680.0,1
1746661243.3649173,109143.0,1
1746661243.375601,110782.0,1
1746661243.3872976,112716.0,1
1746661243.3958187,113665.0,1
1746661243.4043329,114174.0,1
1746661243.4168954,118244.0,1
1746661243.4241936,118984.0,1
1746661243.4353354,120854.0,1
1746661243.4444368,121751.0,1
1746661243.455081,122776.0,1
1746661243.4647076,123173.0,1
1746661243.4762886,124020.0,1
1746661243.4869993,125270.0,1
1746661243.4945784,126072.0,1
1746661243.504287,126325.0,1
